YEAR  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC  ANNUAL

    1869  35.1 34.5 34.8 49.2 57.7 69.3 72.8 71.8 65.6 50.9 40.3 34.7  51.4

    1870  37.5 31.3 34.1 50.7 60.9 72.9 76.6 75.3 67.6 56.7 45.5 34.1  53.6
    1871  28.3 30.2 44.2 52.0 60.4 68.2 72.3 73.6 60.8 55.6 38.8 29.2  51.1
    1872  28.8 29.9 30.5 49.4 61.5 71.2 77.5 75.6 66.4 53.2 41.0 26.7  51.0
    1873  28.6 29.5 35.7 46.7 58.8 70.3 75.4 72.0 65.4 55.8 37.0 36.5  51.0
    1874  34.2 31.3 37.1 41.1 58.8 70.1 73.9 70.3 67.0 55.1 43.4 33.8  51.3
    1875  23.8 25.2 34.1 43.1 60.1 69.2 74.0 72.9 64.0 53.6 39.3 33.9  49.4
    1876  36.6 31.8 34.4 47.0 60.2 73.5 79.4 75.2 63.7 50.6 45.2 24.9  51.9
    1877  27.7 37.0 35.8 47.7 59.6 70.2 75.0 75.4 66.9 55.8 44.5 37.4  52.8
    1878  30.3 32.2 44.1 53.3 59.4 67.7 77.8 74.2 68.3 58.7 43.8 32.8  53.6
    1879  26.9 28.0 40.0 48.4 63.3 70.2 75.0 72.0 63.3 60.3 43.4 37.3  52.3
                                                                           
    1880  39.6 37.2 36.5 50.0 67.9 73.1 74.9 72.7 67.1 53.6 38.7 26.5  53.2
    1881  24.7 28.7 36.7 46.3 62.3 65.2 73.7 73.8 73.4 58.8 45.2 39.4  52.4
    1882  28.8 35.2 40.4 47.6 56.6 71.8 75.8 73.4 67.1 57.1 39.2 30.6  52.0
    1883  25.2 30.2 32.7 47.1 61.1 74.0 74.5 70.4 62.6 52.2 43.7 32.0  50.5
    1884  24.7 34.0 37.7 48.1 59.8 71.3 71.9 73.7 72.0 57.7 44.3 33.6  52.4
    1885  29.4 22.7 30.6 49.4 59.9 71.0 78.5 72.4 64.4 54.1 44.9 35.7  51.1
    1886  26.8 27.5 37.6 52.9 60.2 68.0 74.8 70.2 65.3 54.9 44.6 29.6  51.0
    1887  29.1 32.0 32.3 46.3 63.8 69.6 78.2 70.0 61.8 52.2 41.4 33.8  50.9
    1888  23.0 29.3 30.0 46.0 58.0 70.9 70.7 72.6 62.8 48.6 45.5 34.7  49.3
    1889  35.7 27.8 39.7 51.2 63.5 70.5 73.2 70.6 65.2 49.7 44.7 40.0  52.7
                 
                                                          
    1890  37.6 37.9 35.6 49.1 60.3 70.1 73.1 72.7 67.1 54.5 43.9 29.9  52.7
    1891  33.8 36.5 35.8 49.7 57.8 71.4 72.4 75.5 71.6 54.7 44.3 42.3  53.8
    1892  31.5 33.4 34.2 48.8 59.2 73.5 74.9 74.3 64.7 53.0 43.4 32.2  51.9
    1893  23.7 29.4 35.5 46.4 58.2 68.1 73.6 73.5 63.3 56.2 42.9 34.5  50.4
    1894  33.6 28.6 42.8 49.2 60.9 70.4 75.0 70.6 68.8 55.3 41.5 36.8  52.8
    1895  29.8 24.1 35.4 50.1 62.5 72.9 72.6 75.6 70.9 52.5 47.8 38.1  52.7
    1896  29.8 31.9 32.6 52.3 67.0 69.8 76.8 76.1 67.3 53.9 49.9 34.2  53.5
    1897  30.8 33.2 40.8 50.5 61.5 67.5 75.9 73.2 67.0 56.6 46.0 38.3  53.4
    1898  35.3 35.8 45.6 47.7 58.4 71.2 76.1 75.3 70.3 59.5 45.6 34.6  54.6
    1899  31.4 27.9 37.9 49.5 62.3 74.1 76.2 75.2 66.1 58.6 46.0 38.2  53.6

    1900  31.8 30.3 33.4 50.0 59.6 70.5 76.4 76.2 70.5 61.3 49.1 36.3  53.8
    1901  32.5 26.3 38.4 47.8 57.4 70.6 77.7 75.0 68.2 55.9 39.7 35.7  52.1
    1902  30.6 29.7 44.4 50.6 58.9 66.8 72.8 71.9 66.7 58.2 51.6 32.5  52.9
    1903  30.4 33.2 47.8 52.0 62.8 64.2 74.6 69.1 67.0 58.0 42.2 31.5  52.7
    1904  25.3 25.4 36.4 46.6 63.4 70.2 74.6 73.0 66.8 53.8 42.4 30.3  50.7
    1905  29.3 24.8 40.4 49.9 61.5 69.9 77.1 74.3 69.6 59.4 44.1 38.9  53.3
    1906  38.4 32.8 35.6 51.6 63.1 73.6 77.1 77.1 70.1 57.5 45.5 34.2  54.7
    1907  34.9 25.9 42.5 46.7 56.2 68.6 77.4 73.4 66.9 52.7 46.2 38.8  52.5
    1908  33.5 27.5 41.4 52.2 63.4 73.0 79.8 75.8 68.6 60.8 46.8 37.6  55.0
    1909  34.7 37.7 37.8 48.4 61.0 72.1 73.5 72.2 66.8 54.5 49.5 32.4  53.4

    1910  31.1 30.0 43.0 55.1 61.0 68.7 77.2 72.0 69.4 58.8 42.3 30.0  53.2
    1911  36.3 31.3 34.7 47.8 64.1 69.8 77.6 72.8 67.6 56.2 42.7 39.4  53.4
    1912  23.7 28.8 37.6 50.4 62.3 69.7 75.7 71.7 66.6 59.2 47.8 39.3  52.7
    1913  40.9 31.3 44.8 52.5 60.7 70.5 76.1 73.4 64.6 58.6 47.3 38.7  55.0
    1914  31.5 25.4 36.5 47.9 64.5 68.9 72.1 74.6 66.9 59.4 44.5 31.6  52.0
    1915  34.5 35.9 36.8 54.4 59.0 68.0 73.9 71.6 70.0 57.7 46.3 33.5  53.5
    1916  36.0 27.9 32.4 48.4 61.4 65.7 75.4 74.8 67.4 57.7 45.5 34.0  52.2
    1917  32.9 28.3 39.3 48.4 54.3 70.3 75.9 76.2 63.6 53.0 41.6 25.0  50.7
    1918  21.7 30.4 42.1 50.7 65.3 67.8 74.6 76.5 63.9 59.0 46.6 39.4  53.2
    1919  35.6 34.9 43.3 50.0 62.0 70.9 75.1 71.1 67.6 59.2 45.2 30.2  53.8

    1920  23.4 28.5 39.9 48.1 58.8 69.2 73.8 74.3 68.5 61.1 44.4 37.3  52.3
    1921  33.4 34.0 48.4 56.1 61.2 71.2 77.3 71.6 72.1 56.3 44.7 32.5  54.9
    1922  28.2 33.6 41.0 51.5 64.6 71.8 73.7 72.4 68.2 58.2 45.7 33.6  53.5
    1923  30.0 26.2 36.8 50.3 60.0 73.4 73.8 72.6 68.3 56.0 45.2 42.0  52.9
    1924  32.7 28.9 39.2 49.1 57.3 67.8 74.1 74.3 64.1 57.1 44.4 34.0  51.9
    1925  28.4 37.9 44.2 51.8 59.6 74.3 73.6 73.3 68.8 50.6 43.9 34.8  53.4
    1926  32.0 29.2 35.7 47.3 60.1 66.8 75.1 74.0 65.7 55.1 44.9 28.9  51.2
    1927  30.9 36.4 43.0 48.6 59.0 67.3 74.0 68.5 67.9 59.6 49.2 36.7  53.4
    1928  34.0 33.0 38.8 48.4 59.4 67.4 75.9 75.4 64.7 58.9 47.4 39.3  53.6
    1929  31.9 32.9 45.1 51.0 61.7 71.5 75.9 73.1 69.4 54.6 46.2 35.8  54.1

